,equity
2026-08-11 12:00:00+00:00,9684.063177681064
2026-08-11 16:00:00+00:00,9684.063177681064
2026-08-11 20:00:00+00:00,9684.063177681064
2026-08-12 00:00:00+00:00,9684.063177681064
2026-08-12 04:00:00+00:00,9684.063177681064
2026-08-12 08:00:00+00:00,9684.063177681064
2026-08-12 12:00:00+00:00,9684.063177681064
2026-08-12 16:00:00+00:00,9684.063177681064
2026-08-12 20:00:00+00:00,9684.063177681064
2026-08-13 00:00:00+00:00,9684.063177681064
2026-08-13 04:00:00+00:00,9684.063177681064
2026-08-13 08:00:00+00:00,9684.063177681064
2026-08-13 12:00:00+00:00,9684.063177681064
2026-08-13 16:00:00+00:00,9684.063177681064
2026-08-13 20:00:00+00:00,9684.063177681064
2026-08-14 00:00:00+00:00,9684.063177681064
2026-08-14 04:00:00+00:00,9684.063177681064
2026-08-14 08:00:00+00:00,9684.063177681064
2026-08-14 12:00:00+00:00,9684.063177681064
2026-08-14 16:00:00+00:00,9684.063177681064
2026-08-14 20:00:00+00:00,9684.063177681064
2026-08-15 00:00:00+00:00,9684.063177681064
2026-08-15 04:00:00+00:00,9684.063177681064
2026-08-15 08:00:00+00:00,9684.063177681064
2026-08-15 12:00:00+00:00,9684.063177681064
2026-08-15 16:00:00+00:00,9684.063177681064
2026-08-15 20:00:00+00:00,9684.063177681064
2026-08-16 00:00:00+00:00,9684.063177681064
2026-08-16 04:00:00+00:00,9684.063177681064
2026-08-16 08:00:00+00:00,9684.063177681064
2026-08-16 12:00:00+00:00,9684.063177681064
2026-08-16 16:00:00+00:00,9684.063177681064
2026-08-16 20:00:00+00:00,9684.063177681064
2026-08-17 00:00:00+00:00,9684.063177681064
2026-08-17 04:00:00+00:00,9684.063177681064
2026-08-17 08:00:00+00:00,9684.063177681064
2026-08-17 12:00:00+00:00,9684.063177681064
2026-08-17 16:00:00+00:00,9684.063177681064
2026-08-17 20:00:00+00:00,9684.063177681064
2026-08-18 00:00:00+00:00,9684.063177681064
2026-08-18 04:00:00+00:00,9684.063177681064
2026-08-18 08:00:00+00:00,9684.063177681064
2026-08-18 12:00:00+00:00,9684.063177681064
2026-08-18 16:00:00+00:00,9684.063177681064
2026-08-18 20:00:00+00:00,9684.063177681064
2026-08-19 00:00:00+00:00,9684.063177681064
2026-08-19 04:00:00+00:00,9684.063177681064
2026-08-19 08:00:00+00:00,9684.063177681064
2026-08-19 12:00:00+00:00,9684.063177681064
2026-08-19 16:00:00+00:00,9684.063177681064
2026-08-19 20:00:00+00:00,9661.083040229314
2026-08-20 00:00:00+00:00,9790.585619577734
2026-08-20 04:00:00+00:00,9740.957781166326
2026-08-20 08:00:00+00:00,9946.046913051134
2026-08-20 12:00:00+00:00,10626.36782423541
2026-08-20 16:00:00+00:00,10614.129935434776
2026-08-20 20:00:00+00:00,10665.897248432359
2026-08-21 00:00:00+00:00,10767.897379761147
2026-08-21 04:00:00+00:00,11202.66613108203
2026-08-21 08:00:00+00:00,11714.38904233191
2026-08-21 12:00:00+00:00,11703.468861339852
2026-08-21 16:00:00+00:00,11810.477887606376
2026-08-21 20:00:00+00:00,11752.813660965698
2026-08-22 00:00:00+00:00,12078.518850250282
2026-08-22 04:00:00+00:00,12098.077189410102
2026-08-22 08:00:00+00:00,11820.274320157901
2026-08-22 12:00:00+00:00,11783.629004425722
2026-08-22 16:00:00+00:00,11751.017611185642
2026-08-22 20:00:00+00:00,11846.975545489464
2026-08-23 00:00:00+00:00,11769.407605472938
2026-08-23 04:00:00+00:00,11730.820171112013
2026-08-23 08:00:00+00:00,11500.919791547365
2026-08-23 12:00:00+00:00,11815.086523350326
2026-08-23 16:00:00+00:00,11772.032600872297
2026-08-23 20:00:00+00:00,11815.372144793793
2026-08-24 00:00:00+00:00,11918.992241005948
2026-08-24 04:00:00+00:00,11717.660229695419
2026-08-24 08:00:00+00:00,11811.601617951186
2026-08-24 12:00:00+00:00,12091.816447954146
2026-08-24 16:00:00+00:00,12253.374703433481
2026-08-24 20:00:00+00:00,12161.480303105967
2026-08-25 00:00:00+00:00,12221.670702158735
2026-08-25 04:00:00+00:00,12601.912170081241
2026-08-25 08:00:00+00:00,12591.59380608679
