stop_atr,take_profit_atr,trailing_atr,downside_return_threshold,downside_vol_ratio,exit_cooldown_bars,drawdown_brake_enabled,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_max_drawdown,train_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_total_return,robust_score,train_trade_count,validation_trade_count,downside_trigger_count,fast_downside_exit_count,drawdown_profile
3.0,12.0,3.0,-0.06,1.1,3,True,0.15,0.075,0.3,0.8303747242425155,1.9449177396087995,-0.2162805025818263,5.133098355871287,1.358569293332911,1.8430945111129493,-0.309691404642897,4.567206949477567,1.9010292046705395,102.0,79.0,1275,38,current
3.0,12.0,3.0,-0.06,1.2,3,True,0.15,0.075,0.3,0.8466705704707342,1.972638513504781,-0.21628050258182618,5.298382940985474,1.353899381596288,1.8394229526559842,-0.309691404642897,4.54517286710683,1.9006168154592178,101.0,78.0,1000,33,current
2.5,12.0,3.0,-0.06,1.2,3,True,0.15,0.075,0.3,0.8466705704707342,1.972638513504781,-0.21628050258182618,5.298382940985474,1.353899381596288,1.8394229526559842,-0.309691404642897,4.54517286710683,1.9006168154592178,101.0,78.0,1000,33,
3.0,12.0,3.0,-0.06,1.2,3,True,0.15,0.075,0.3,0.8466705704707342,1.972638513504781,-0.21628050258182618,5.298382940985474,1.353899381596288,1.8394229526559842,-0.309691404642897,4.54517286710683,1.9006168154592178,101.0,78.0,1000,33,
2.5,12.0,3.0,-0.06,1.2,3,True,0.15,0.075,0.3,0.8466705704707342,1.972638513504781,-0.21628050258182618,5.298382940985474,1.353899381596288,1.8394229526559842,-0.309691404642897,4.54517286710683,1.9006168154592178,101.0,78.0,1000,33,current
3.5,12.0,3.0,-0.06,1.2,3,True,0.15,0.075,0.3,0.8466705704707342,1.972638513504781,-0.21628050258182618,5.298382940985474,1.353899381596288,1.8394229526559842,-0.309691404642897,4.54517286710683,1.9006168154592178,101.0,78.0,1000,33,
2.5,12.0,3.0,-0.06,1.1,0,False,0.15,0.075,0.3,1.0623072011735792,1.9527627326528136,-0.26109656192532205,7.772670058830288,1.3747934238986734,1.8184057731333982,-0.31087458142170366,4.644097114419193,1.900318932405453,111.0,85.0,1275,55,disabled
3.0,12.0,3.0,-0.06,1.1,0,False,0.15,0.075,0.3,1.0623072011735792,1.9527627326528136,-0.26109656192532205,7.772670058830288,1.3747934238986734,1.8184057731333982,-0.31087458142170366,4.644097114419193,1.900318932405453,111.0,85.0,1275,55,disabled
3.0,12.0,3.0,-0.06,1.2,0,False,0.15,0.075,0.3,1.0553986893053957,1.9442521466058484,-0.2617964860599006,7.6847958538775085,1.3729789994214783,1.8170336856291303,-0.31087458142170366,4.635471906603972,1.897215180460259,111.0,84.0,1000,45,disabled
2.5,12.0,3.0,-0.06,1.2,0,False,0.15,0.075,0.3,1.0553986893053957,1.9442521466058484,-0.2617964860599006,7.6847958538775085,1.3729789994214783,1.8170336856291303,-0.31087458142170366,4.635471906603972,1.897215180460259,111.0,84.0,1000,45,disabled
2.5,12.0,3.5,-0.06,1.2,3,True,0.15,0.075,0.3,0.8351708959913042,1.9540757238213413,-0.22191301891132853,5.181440571663476,1.3491530128394689,1.8356522059984826,-0.3138220252576527,4.522822826276456,1.8917298757410794,101.0,78.0,1000,33,
3.5,12.0,3.0,-0.05,1.2,3,True,0.15,0.075,0.3,0.8194235900480593,1.932916144297896,-0.21748977784356283,5.023664417114405,1.3488801610679224,1.8364065236000764,-0.309691404642897,4.521539374779213,1.8915463526879066,102.0,77.0,1123,48,
