ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
24,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.46929756870319905,0.13670621798641225,0.1322701027974083,1.034199819934618,1.589301125574431,-0.14965069356439642,109.0,0.42201834862385323,14692.97568703199
24,72,20,14,21.0,16.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5479780433791559,0.1566246818882231,0.15196430056653207,1.0327951779169744,1.6090503119910466,-0.21891610479572643,154.0,0.38961038961038963,15479.780433791559
24,72,20,14,21.0,16.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5479780433791559,0.1566246818882231,0.15196430056653207,1.0327951779169744,1.6090503119910466,-0.21891610479572643,154.0,0.38961038961038963,15479.780433791559
24,72,20,14,21.0,16.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5479780433791559,0.1566246818882231,0.15196430056653207,1.0327951779169744,1.6090503119910466,-0.21891610479572643,154.0,0.38961038961038963,15479.780433791559
30,96,20,14,21.0,16.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5374826038135092,0.15400732780349813,0.14941892588807526,1.0326791817878236,1.6014877375393606,-0.19909479648431083,147.0,0.3945578231292517,15374.826038135092
30,96,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5374826038135092,0.15400732780349813,0.14941892588807526,1.0326791817878236,1.6014877375393606,-0.19909479648431083,147.0,0.3945578231292517,15374.826038135092
30,96,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5374826038135092,0.15400732780349813,0.14941892588807526,1.0326791817878236,1.6014877375393606,-0.19909479648431083,147.0,0.3945578231292517,15374.826038135092
18,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5247953057851353,0.1508274083150738,0.14650429144535565,1.0314476951127374,1.6071101139799397,-0.2011727566400613,122.0,0.4016393442622951,15247.953057851353
18,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5247953057851353,0.1508274083150738,0.14650429144535565,1.0314476951127374,1.6071101139799397,-0.2011727566400613,122.0,0.4016393442622951,15247.953057851353
18,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5247953057851353,0.1508274083150738,0.14650429144535565,1.0314476951127374,1.6071101139799397,-0.2011727566400613,122.0,0.4016393442622951,15247.953057851353
30,72,20,14,21.0,16.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.534239433368414,0.1531961361323071,0.1510914770780602,1.0182525648579157,1.5823091292406295,-0.2160704279674318,148.0,0.3918918918918919,15342.394333684138
30,72,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.534239433368414,0.1531961361323071,0.1510914770780602,1.0182525648579157,1.5823091292406295,-0.2160704279674318,148.0,0.3918918918918919,15342.394333684138
30,72,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.534239433368414,0.1531961361323071,0.1510914770780602,1.0182525648579157,1.5823091292406295,-0.2160704279674318,148.0,0.3918918918918919,15342.394333684138
30,96,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.4633484944038613,0.13517151333384225,0.13353466703053818,1.0155756311639486,1.5441229583888678,-0.1710089312883294,103.0,0.4368932038834951,14633.484944038613
24,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.4584660166990906,0.13390885035187372,0.13227674432654815,1.0155390137163853,1.559835730032194,-0.1559194051790519,107.0,0.4205607476635514,14584.660166990907
30,72,20,14,27.0,22.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.4635542450225494,0.1352246609867167,0.13495400093447465,1.0066562419023273,1.527556487362618,-0.1744326086692949,106.0,0.4528301886792453,14635.542450225494
