ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
30,120,20,14,21.0,16.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5478263341311485,0.1565869330583165,0.20958086954665503,0.7981678317457594,1.3507761519357442,-0.19697440683836676,5154.0,0.4935972060535506,15478.263341311484
30,120,20,14,21.0,16.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5478263341311485,0.1565869330583165,0.20958086954665503,0.7981678317457594,1.3507761519357442,-0.19697440683836676,5154.0,0.4935972060535506,15478.263341311484
24,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.48145030146424217,0.13982846950137895,0.19373888382189908,0.7716878568645856,1.2892365000224468,-0.14731130924435476,4299.0,0.4926727145847872,14814.503014642421
24,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.48145030146424217,0.13982846950137895,0.19373888382189908,0.7716878568645856,1.2892365000224468,-0.14731130924435476,4299.0,0.4926727145847872,14814.503014642421
24,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.48145030146424217,0.13982846950137895,0.19373888382189908,0.7716878568645856,1.2892365000224468,-0.14731130924435476,4299.0,0.4926727145847872,14814.503014642421
30,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.45733486897667563,0.13361592085508356,0.1920168620062176,0.7484419658800412,1.2475188094331473,-0.15858032764062535,4260.0,0.49178403755868544,14573.348689766757
30,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.45733486897667563,0.13361592085508356,0.1920168620062176,0.7484419658800412,1.2475188094331473,-0.15858032764062535,4260.0,0.49178403755868544,14573.348689766757
30,72,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.45733486897667563,0.13361592085508356,0.1920168620062176,0.7484419658800412,1.2475188094331473,-0.15858032764062535,4260.0,0.49178403755868544,14573.348689766757
24,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.45343741360238665,0.13260544703615262,0.19242115564624523,0.7426277314968717,1.2461344240349648,-0.16042167086941395,4348.0,0.49149034038638456,14534.374136023867
24,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.45343741360238665,0.13260544703615262,0.19242115564624523,0.7426277314968717,1.2461344240349648,-0.16042167086941395,4348.0,0.49149034038638456,14534.374136023867
24,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.45343741360238665,0.13260544703615262,0.19242115564624523,0.7426277314968717,1.2461344240349648,-0.16042167086941395,4348.0,0.49149034038638456,14534.374136023867
24,72,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.41892199716064304,0.12357692404043719,0.1940261491580805,0.6968664642819716,1.1630661305605987,-0.1558421286817051,4320.0,0.49189814814814814,14189.219971606431
24,72,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.41892199716064304,0.12357692404043719,0.1940261491580805,0.6968664642819716,1.1630661305605987,-0.1558421286817051,4320.0,0.49189814814814814,14189.219971606431
