,V4,V4.1.2,V4.2.2,V7.1,V7.1.2,V7.1.3,BTC
2024-07-29 12:00:00+00:00,287810.5287896766,239377.8020005505,130215.34190560842,552215.8523919318,687815.5213265473,284197.1739074152,96307.49205513975
2024-07-29 16:00:00+00:00,275757.77275125106,229355.37467494412,126082.96017735597,528159.3533710594,654495.5547256798,273738.5655491524,94254.36015315058
2024-07-29 20:00:00+00:00,273931.3583241768,226467.89296679306,124897.5889247114,524146.347756855,645639.2049613525,271178.2165815036,93159.59649110661
2024-07-30 00:00:00+00:00,273881.77660019335,226467.89296679306,124898.25951471935,524014.5583071149,645639.2049613525,271178.2165815036,92430.40025478942
2024-07-30 04:00:00+00:00,273881.61315332283,226467.89296679306,124898.25951471935,524014.39486024436,645639.2049613525,271178.2165815036,92202.75144876866
2024-07-30 08:00:00+00:00,273881.93098528736,226467.89296679306,124898.93010837436,524014.7126922089,645639.2049613525,271178.2165815036,92657.49517077122
2024-07-30 12:00:00+00:00,273881.5629310093,226467.89296679306,124898.93010837436,524014.3446379308,645639.2049613525,271178.2165815036,92129.22254609404
2024-07-30 16:00:00+00:00,273881.2127018107,226467.89296679306,124899.6007055833,524013.9944087322,645639.2049613525,271178.2165815036,91666.032000997
2024-07-30 20:00:00+00:00,273880.8976105225,226467.89296679306,124899.6007055833,524013.67931744404,645639.2049613525,271178.2165815036,91252.55308689842
2024-07-31 00:00:00+00:00,273881.1690105225,226467.89296679306,124900.27130641605,524013.950717444,645639.2049613525,271178.2165815036,91612.44313972568
2024-07-31 04:00:00+00:00,273881.05459373386,226467.89296679306,124900.27130641605,524013.8363006554,645639.2049613525,271178.2165815036,91431.87498701821
2024-07-31 08:00:00+00:00,273881.2040840601,226467.89296679306,124900.94191084936,524013.9857909816,645639.2049613525,271178.2165815036,91663.81644084108
2024-07-31 12:00:00+00:00,273881.0708027946,226467.89296679306,124900.94191084936,524013.8525097161,645639.2049613525,271178.2165815036,91478.54022280229
2024-07-31 16:00:00+00:00,273881.3572324825,226467.89296679306,124901.61251888321,524014.13893940405,645639.2049613525,271178.2165815036,91882.74147874794
2024-07-31 20:00:00+00:00,273880.2395937632,226467.89296679306,124901.61251888321,524013.0213006847,645639.2049613525,271178.2165815036,90325.34116164589
2024-08-01 00:00:00+00:00,273879.6038934086,226467.89296679306,124902.28313051762,524012.38560033013,645639.2049613525,271178.2165815036,89455.73380044728
