,main_v43,xuyujian_v71_ref,wzy_v71_risk_adjusted_plus
2024-03-18 08:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-18 12:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-18 16:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-18 20:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-19 00:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-19 04:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-19 08:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-19 12:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-19 16:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-19 20:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-20 00:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-20 04:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-20 08:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-20 12:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-20 16:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-20 20:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-21 00:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-21 04:00:00+00:00,42967.23939845102,18041.752067446567,24870.26003918688
2024-03-21 08:00:00+00:00,42967.04915243905,18041.752067446567,24870.26003918688
2024-03-21 12:00:00+00:00,42967.04915243905,18041.752067446567,24870.26003918688
2024-03-21 16:00:00+00:00,42963.51214019163,18041.752067446567,24870.26003918688
2024-03-21 20:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-22 00:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-22 04:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-22 08:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-22 12:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-22 16:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-22 20:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-23 00:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-23 04:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-23 08:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-23 12:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-23 16:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-23 20:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-24 00:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-24 04:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-24 08:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-24 12:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-24 16:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-24 20:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-25 00:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-25 04:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-25 08:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-25 12:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-25 16:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-25 20:00:00+00:00,42963.37236503741,18041.752067446567,24870.26003918688
2024-03-26 00:00:00+00:00,42963.37236503741,17965.39193654572,24398.7665325134
2024-03-26 04:00:00+00:00,42963.37236503741,17998.381468262574,24602.463799780966
2024-03-26 08:00:00+00:00,42963.37236503741,18001.07786826257,24619.112999780962
2024-03-26 12:00:00+00:00,42963.37236503741,18014.66446900885,24703.004867880998
2024-03-26 16:00:00+00:00,42788.79992218495,17988.06450467896,24538.760643685328
2024-03-26 20:00:00+00:00,42435.377674467716,17935.42714863597,24213.745857959548
2024-03-27 00:00:00+00:00,42662.63040296865,17969.273299689296,24422.732409701537
2024-03-27 04:00:00+00:00,42823.35123885935,17993.210445460252,24570.534785969823
2024-03-27 08:00:00+00:00,42542.5629913577,17951.390919236605,24312.315806588867
