,V1,V2,V3,V4.1,V5,V6,BTC
2023-06-27 12:00:00+00:00,97462.2832079898,95478.57692090185,117367.72688660088,119860.55674118752,114846.9552007335,18764.216069064805,42538.893466174624
2023-06-27 16:00:00+00:00,96108.62771109467,94087.86035632991,115618.4444922559,118222.45754987294,113277.418984621,18501.08248855952,42216.66793599801
2023-06-27 20:00:00+00:00,96969.16407453467,94971.95692136991,116730.48600777591,119263.81846059294,114275.193522381,18668.35991991952,42425.76142571297
2023-06-28 00:00:00+00:00,97236.23487453467,95246.3397213699,117075.6124077759,119587.00886059293,114584.856722381,18720.27511991952,42487.797110078725
2023-06-28 04:00:00+00:00,95806.97761245466,93777.9515280899,115228.6324551359,117857.42170155294,112927.661786061,18442.445508399524,42153.52447155429
2023-06-28 08:00:00+00:00,94259.48641245467,92188.09232808992,113228.86285513591,115984.75610155295,111133.376986061,18141.632708399524,41785.464540652065
2023-06-28 12:00:00+00:00,94936.78868972832,92883.93813109316,113460.44211097945,116179.18459650002,111265.57332644018,18273.291741079684,41949.27751968041
2023-06-28 16:00:00+00:00,95545.7100708918,93509.53087108384,113754.89998626488,116437.6948543143,111471.98558791945,17974.872958263728,42095.36601746138
2023-06-28 20:00:00+00:00,93698.19614804485,91611.43477375785,112861.49232952882,115653.35501129867,110845.71504015084,17802.908480655908,41653.08482133585
2023-06-29 00:00:00+00:00,93568.46456902906,91477.94717863835,112800.9104420122,115600.44094088855,110803.80838329344,17802.908480655908,41633.560197461804
2023-06-29 04:00:00+00:00,93568.46456902906,91477.94717863835,112800.9104420122,115600.44094088855,110803.80838329344,17802.908480655908,41766.49380681701
2023-06-29 08:00:00+00:00,93568.46456902906,91477.94717863835,112800.9104420122,115600.44094088855,110803.80838329344,17802.908480655908,42004.11263353943
2023-06-29 12:00:00+00:00,95528.5204141778,93489.04214565831,113695.90570213467,116387.02759882243,111432.68618365601,17943.90858997843,42456.502322876346
2023-06-29 16:00:00+00:00,94301.31567384512,92229.40619326681,111996.58493019971,114638.77289109568,109751.03695357124,17856.59378828158,42190.21968663671
2023-06-29 20:00:00+00:00,95042.46101541413,92990.13770570762,112208.13684422262,114806.76059024522,109860.3907767034,17909.32578678258,42333.123316693556
2023-06-30 00:00:00+00:00,94102.13188784513,92024.95859806683,111789.65729816142,114440.03958255843,109567.9256266276,17842.42199428158,42150.89349386913
2023-06-30 04:00:00+00:00,95947.44757179511,93919.04024770681,112610.88770262142,115159.69827149842,110141.8635305176,17973.71497883158,42558.55656255842
2023-06-30 08:00:00+00:00,96127.88092733422,94104.24189676993,112733.45115410199,115276.01324029517,110244.89034648733,17986.552692165482,42592.89774497518
2023-06-30 12:00:00+00:00,97025.775755462,95025.86529815083,113877.33687181227,116445.87402340084,111363.78383911445,18131.715470891122,42784.82064348176
