,baseline,relax_probes,softer_short_block,freer_range_rebound,balanced_relax,balanced_relax_plus,probe_range_relax_only
2020-04-09 20:00:00+00:00,10452.409507597222,10398.119453402518,10419.639394344527,10452.409507597222,10419.639394344527,10437.274846231714,10414.273374278002
2020-04-10 00:00:00+00:00,10454.89374130375,10400.603687109045,10422.123628051055,10454.89374130375,10422.123628051055,10439.759079938241,10416.75760798453
2020-04-10 04:00:00+00:00,10445.303138191035,10391.013083996331,10412.53302493834,10445.303138191035,10412.53302493834,10430.168476825527,10407.167004871815
2020-04-10 08:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-10 12:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-10 16:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-10 20:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-11 00:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-11 04:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-11 08:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-11 12:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-11 16:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-11 20:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-12 00:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-12 04:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-12 08:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-12 12:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-12 16:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-12 20:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-13 00:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
2020-04-13 04:00:00+00:00,10430.82508782041,10376.535033625707,10398.054974567716,10430.82508782041,10398.054974567716,10415.690426454903,10392.68895450119
